NCT Number,Study Title,Study URL,Study Status,Brief Summary,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Locations
NCT01091662,Safety & Efficacy of Eslicarbazepine Monotherapy in Sub.w/Partial Epilepsy Not Well Controlled by Current Antiepileptic,https://clinicaltrials.gov/study/NCT01091662,COMPLETED,"This is an 18-week, double-blind, multicenter study with gradual conversion from previous antiepileptic therapy to eslicarbazepine acetate monotherapy in subjects with partial epilepsy.",Epilepsy,DRUG: Eslicarbazepine acetate 1600 mg|DRUG: Eslicarbazepine acetate 1200 mg,"Cumulative 112-day Exit Rate as Estimated by Kaplan-Meier Method, Cumulative exit rate was defined as the proportion of subjects meeting at least one of the following five exit criteria over a 16-week study period (from start of AED taper/con. period (Wk 3) to end of double blind monotherapy period (Wk 18)).1.One episode of status epilepticus.2.One secondary gen. partial seizure (in subjects who did not have gen.seizures during 6 mo. prior to screening).3.A two fold increase in any consecutive 28 day seizure rate compared to the highest consecutive 28 day seizure rate during the 8 week baseline period. 4.A two fold increase in any consecutive 2 day seizure rate compared to the highest consecutive 2 day seizure rate during the 8 week baseline period. If the highest number of seizures in any consecutive 2 day period during the 8 week baseline was 1 then 3 seizures in a consecutive 2 day period was required to exit.

5.Worsening of seizures or increase in seizure frequency considered serious or requiring intervention as judged by the investigator, From beginning of Week 3 to end of Week 18","Sumitomo Pharma America, Inc.",,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,172,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",6/1/2010,2012-11,"University of Arizona Health Sciences Center, Tucson, Arizona, 85724, United States|Arkansas Neurology, Conway, Arkansas, 72034, United States|University of Arkansas for Medical Sciences, Little Rock, Arkansas, 72205, United States|Kern County Neurological Medical Group, INC., Bakersfield, California, 93301, United States|Neuro-Pain Medical Center, Fresno, California, 93710, United States|West Los Angeles VA Medical Center, Los Angeles, California, 90073, United States|Neurosearch II Inc., Ventura, California, 93003, United States|Specialty Nuerology, PC, Englewood, Colorado, 80113, United States|Palm Springs Research Institute, Inc, Hialeah, Florida, 33012, United States|Miami Children's Hospital, Miami, Florida, 33155, United States|Pharma Care Research LLC, Miami, Florida, 33165, United States|Bay Neurological Institute, Panama City, Florida, 32405, United States|Loveland Scientific Resources Inc., Venice, Florida, 34292, United States|Josephson Wallack Munshower Neurology PC, Indianapolis, Indiana, 46237, United States|University of Kentucky Department of Neurology, Lexington, Kentucky, 40536, United States|Louisiana State University Health Science Center - Shreveport, Shreveport, Louisiana, 71103, United States|The Sandra and Malcom Berman Brain & Spine Institute, Baltimore, Maryland, 21209, United States|Lahey Clinic, Burlington, Massachusetts, 01805, United States|Wayne State University/Detroit Medical Center, Detroit, Michigan, 48201, United States|Minneappolis Clinic of Neurology, Golden Valley, Minnesota, 55422, United States|Northeast Regional Epilepsy Group, Hackensack, New Jersey, 07601, United States|UMDNJ DOC 8th Floor 8100, Newark, New Jersey, 07103, United States|Global Medical Institutes, LLC, Princeton, New Jersey, 08540, United States|Shore Neurology, PA, Toms River, New Jersey, 08755, United States|Montefiore Medical Center, Bronx, New York, 10467, United States|Dent Neurologic Institute, Orchard Park, New York, 14127, United States|SUNY Upstate Medical University Department of Neurology, Syracuse, New York, 13210, United States|East Carolina Neurology, Greenville, North Carolina, 27834, United States|Ohio Clinical Research Partners, LLC, Canton, Ohio, 44718, United States|University Hospitals Case Medical Center, Cleveland, Ohio, 44106, United States|Tulsa Clinical Research LLC, Tulsa, Oklahoma, 74104, United States|Drexel University College of Medicine, Philadelphia, Pennsylvania, 19102, United States|Temple University School of Medicine, Philadelphia, Pennsylvania, 19140, United States|Community Clinical Research Inc., Austin, Texas, 78754, United States|Brownwood Regional Medical Center, Brownwood, Texas, 76801, United States|MD, Dallas, Texas, 75214, United States|Vital Clinical Research, DeSoto, Texas, 75115, United States|Marshfield Clinic, Marshfield, Wisconsin, 54449, United States|Regional Epilepsy Center, Milwaukee, Wisconsin, 53215, United States|Multirprofile Hospital for Active Treatment ""Pulse,"" AD, town of Blagoevgrad, Blagoevgrad, 2700, Bulgaria|University Multiprofile Hospital for Active Treatment ""Dr. Georgi Stranski,"" EAD, town of Pleven, Pleven, 5800, Bulgaria|Second Multiprofile Hospital for Active Treatment - Sofia, AD, city of Sofia Neurology Department, Sofia, 1202, Bulgaria|Diagnostic and Consultative Center ""Equita"" EOOD, town of Varna, Varna, 9000, Bulgaria|Policlinic Chocen, private neurology, Smetanova, Chocen, 56501, Czech Republic|Praha, Pocernicka, 1427 16, Czech Republic|Neurologicka ordinance, Kolejni, Praha, 160 00, Czech Republic|CTC Rycnov nad Kneznou, Rychnov nad Kneznou, Praugue, 516 01, Czech Republic|Cerebrovaskularni poradna s.r.o., Ostrava, Tiebovice, 72200, Czech Republic|Poradna pro epilepsie, Koterova, Zin, 760 01, Czech Republic|Institute of Mental Health, Department of epilepsy and clinical neurophysiology, Palmoticeva, Belgrade, 11000, Serbia|Clinic of Neurology, Clinical Center of Serbia, Belgrade, 11000, Serbia|Communal Institution ""Dnipropetrovsk Regional Clinical Hospital named after l.l. Mechnikov"" Regional Center of psychosomatic disorders, Psychoneurology department for patients with psychosomatic disorders and borderline condtions, Dnipropetrovsk, 49005, Ukraine|Communal Medical and Preventive Treatment Institution ""Regional Clincal Psychiatric Hospital"" Donetsk National Medical University, Donetsk, 83008, Ukraine|State Institution ""Institute of neurology, psychiatry and narcology of AMS of Ukraine"" Department of cerebrovascular patology, Kharkiv, 61068, Ukraine|State Treatment and Prevention Institution, Kharkov, 61018, Ukraine|State Institution ""Institute of the Health Care of Children & Adolescents of Academy of Medical Sciences of Ukraine"" Dept of Psychiatry, Kharkov, 61153, Ukraine|State Institution Railway Clinical Hospital #1 of Kiev Railway Station of DTGO South Western Railroad Psycho-neurological Department, Kiev, 01030, Ukraine|Communal Institution ""Lviv Regional Clinical Psychiatric Hospital"" Department #20, Lviv National Medical University, named after Danylo, Lviv, 79021, Ukraine|Communal Institution ""Odessa Regional Clinical Psych Hospital #1"" Department of Day Care, Odessa, 65006, Ukraine|Poltava Regional Clinical Psychiatric Hospital named O.F. Maltsev, Poltava, 36003, Ukraine|Crimean Republic Institution ""Clinical Psychiatric Hospital #1"", Simferopol, 95006, Ukraine|Communal Institution ""Vinnytsia Regional Psycho-Neurological Hospital named after O.I. Yuschenko, Vinnytsia National Medical University named after M.I. Pirogov, Dispensary department, Department of Psychiatry and Addictology, Vinnytsia, 21005, Ukraine"
NCT01612689,3-Dimensional Accelerometer Sub-Study,https://clinicaltrials.gov/study/NCT01612689,COMPLETED,"This is a prospective, unblinded sub-study to the E-30 to gather physiological data.",Epilepsy,DEVICE: Accelerometer Device,"Gather physiological data, The purpose of this sub-study is to gather physiological data in consenting subjects who were previously enrolled in the ""parent"" E-30 study (NCT01202669)., Up to 2 weeks","Cyberonics, Inc.",,ALL,"CHILD, ADULT, OLDER_ADULT",NA,16,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: ,5/1/2012,2012-10,"Gainesville, Florida, 32610, United States|Chicago, Illinois, 60637, United States"
NCT00370929,A Study of Meditation as a Treatment for Epilepsy,https://clinicaltrials.gov/study/NCT00370929,COMPLETED,Epileptic seizures may occur at times of stress and commonly increase life stress. This study will evaluate whether meditation improves seizure control and quality of life for individuals with uncontrolled epilepsy.,Epilepsy,BEHAVIORAL: Meditation,"Seizure frequency, 20 weeks|Quality of Life, 20 weeks","University of California, Los Angeles",,ALL,"ADULT, OLDER_ADULT",NA,8,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,5/1/2006,2008-01,"Geffen School of Medicine at UCLA, Los Angeles, California, 90095, United States"
NCT01273129,Surgery as a Treatment for Medically Intractable Epilepsy,https://clinicaltrials.gov/study/NCT01273129,RECRUITING,"Background:

- Drug resistant epilepsy is the term used to describe epilepsy that cannot be controlled by medication. Many people whose seizures do not respond to medication will respond to surgical treatment, relieving seizures completely or almost completely in one-half to two-thirds of patients who qualify for surgery. The tests and surgery performed as part of this treatment are not experimental, but researchers are interested in using the data collected as part of routine standard epilepsy care to better understand epilepsy and its treatment.

Objectives:

- To use surgery as a treatment for drug resistant epilepsy in children and adults.

Eligibility:

- Children and adults at least 8 years of age who have simple or complex partial seizures (seizures that come from one area of the brain) that have not responded to medication, and who are willing to have brain surgery to treat their medically intractable epilepsy.

Design:

* Participants will be screened with a medical history, physical examination, and neurological examination. Imaging studies, including magnetic resonance imaging and computer-assisted tomography (CT), may also be conducted as part of the screening. Participants who do not need surgery or whose epilepsy cannot be treated surgically will follow up with a primary care physician or neurologist and will not need to return to the National Institutes of Health for this study.
* Prior to the surgery, participants will have the following procedures to provide information on the correct surgical approach.
* Video electroencephalography monitoring to measure brain activity during normal activities within a 24-hour period. Three to four 15-minute breaks are allowed within this period.
* Electrodes placed directly in the brain or on the surface of the brain to measure brain activities and determine the part of the brain that is responsible for the seizures (seizure focus).
* Participants will have a surgical procedure at the site of their seizure focus. Brain lesions, abnormal blood vessels, tumors, infections, or other areas of brain abnormality will be either removed or treated in a way that will stop or help prevent the spread of seizures without affecting irreplaceable brain functions, such as the ability to speak, understand, move, feel, or see.
* Participants will return for outpatient visits and brain imaging studies 2 months, 1 year, and 2 years after surgery.","Epilepsy|Epilepsy, Temporal Lobe|Partial Epilepsy",,"Descriptive and/or correlational studies, By providing standard care treatment for patients with drug resistant epilepsy, this protocol allows for descriptive and/or correlational studies based on the data collected through clinical care of these patients including neurophysiological correlates of cognitive function and studies of tissue sample acquired during surgery. Outcomes for patients with tumor related epilepsy will be assessed under a separate protocol, 16-N-0041, Tumor Related Epilepsy., 1 year",National Institute of Neurological Disorders and Stroke (NINDS),,ALL,"CHILD, ADULT, OLDER_ADULT",,300,NIH,OBSERVATIONAL,Observational Model: |Time Perspective: p,3/21/2011,,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States"
NCT04118829,Correlation of Serum Level of Perampanel (PER) Level to Cerebrospinal Fluid (CSF) Levels of PER,https://clinicaltrials.gov/study/NCT04118829,UNKNOWN,Perampanel is a drug used to treat patients with epilepsy/seizures. This study is designed to determine how much perampanel actually crosses the blood brain barrier into the cerebral spinal fluid when the drug is taken.,Epilepsy|Seizures,DRUG: Perampanel,"Blood brain barrier serum levels, To determine the blood brain barrier(BBB) penetration of PER by measuring ratio of serum level to that of CSF measured on simultaneously obtained samples, 3 weeks",Carilion Clinic,,ALL,"ADULT, OLDER_ADULT",PHASE4,25,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,11/1/2019,2022-09,"Carilion Clinic, Roanoke, Virginia, 24016, United States"
NCT03632889,A Computerized CBTi for Insomnia in Epilepsy,https://clinicaltrials.gov/study/NCT03632889,COMPLETED,"This is a pilot study.

The Investigators propose a pilot randomized, parallel-group, controlled trial comparing the GoToSleep program (GTS) and controls on change in Insomnia Severity Index (ISI) from baseline to week 8 in adults with epilepsy and moderate-to-severe insomnia.

Adults with epilepsy and moderate-to-severe insomnia symptoms (ISI ≥15) 17 will be identified using data collected as part of routine clinical care in the adult epilepsy clinic.

All subjects will be provided a consent form describing the study and provided sufficient information to make an informed decision. After a screening visit, subjects meeting study criteria will be randomized to the computerized cognitive behavioral therapy for insomnia (CCBT-i) using the GoTosleep (GTS) or the control group. Both groups will receive a sleep hygiene handout that is standard of care in the treatment of insomnia. All subjects will be contacted by phone every 2 weeks during the intervention to address questions related to sleep hygiene instructions and use of the CCBT-i in the GoTosleep (GTS) group. All subjects will complete a series of sleep related patient reported outcomes including the ISI at baseline 8 weeks post randomization and maintain a diary recording of seizures and sleep periods. Those randomized to CCBT-i will complete a questionnaire at week 8 assessing barriers to CCBT-i.

Subjects randomized to the control group will be offered access to the GoTosleep (GTS) at no charge at the end of the study (week 8).",Epilepsy|Insomnia,BEHAVIORAL: GoToSleep Program,"Primary Aim - To compare change in Insomnia Severity Index (ISI) score from baseline to week 8 between Go! to sleep (GTS) and control in people with epilepsy and moderate-to-severe insomnia., The number of participants with change in Insomnia Severity Index (ISI) score, total range score of 0-28, from baseline to week 8 in people with epilepsy (PWE)and moderate-to-severe insomnia with Go! To sleep (GTS) program compare to the number of participants with change in Insomnia Severity Index (ISI) score from baseline to week 8 in people with epilepsy (PWE) and moderate-to-severe insomnia without Go! To sleep (GTS) program, baseline to 8 weeks",The Cleveland Clinic,,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,7/24/2018,12/31/2022,"Cleveland Clinic Main Campus, Cleveland, Ohio, 44195, United States"
NCT06038929,Effect of Vagal Nerve Stimulation on Gastric Motor Functions,https://clinicaltrials.gov/study/NCT06038929,NOT_YET_RECRUITING,The specific aim of this study is to compare simultaneous assessment of gastric emptying and gastric accommodation in response to the same caloric meal before and three months after activation of left cervical VNS. Our hypothesis is that cervical VNS increases gastric accommodation and accelerates gastric emptying.,Epilepsy|Depression,DEVICE: Vagal nerve stimulant,"Gastric emptying T1/2, time to empty 50% of the whole stomach contents, during 4 hour gastric emptying test|Gastric accommodation, gastric delta volume (postprandial minus fasting) for the whole stomach, during first 1 hour of gastric emptying test",Mayo Clinic,University of Minnesota,ALL,"ADULT, OLDER_ADULT",NA,16,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,7/1/2024,3/31/2025,"Mayo Clinic in Rochester, Rochester, Minnesota, 55905, United States"
NCT05135091,FIH Study of NRTX-1001 Neural Cell Therapy in Drug-Resistant Unilateral Mesial Temporal Lobe Epilepsy,https://clinicaltrials.gov/study/NCT05135091,RECRUITING,This clinical trial is designed to test whether a single stereotactic intracerebral administration of inhibitory nerve cells into subjects with drug-resistant mesial temporal lobe epilepsy is safe (frequency of adverse events) and effective (seizure frequency).,Mesial Temporal Lobe Epilepsy With Hippocampal Sclerosis,BIOLOGICAL: NRTX-1001|PROCEDURE: Sham Comparator,"Frequency of serious or severe AEs, The primary endpoint of the study is the frequency of serious or severe AEs over the period of 1 year after administration, comparing all subjects treated with NRTX-1001 (Stage 1 + Stage 2) with all subjects who receive sham treatment., 1 year",Neurona Therapeutics,California Institute for Regenerative Medicine (CIRM),ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,40,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",6/16/2022,2025-05,"University of California Los Angeles, Los Angeles, California, 90095, United States|Stanford University, Palo Alto, California, 94304, United States|University of California Davis, Sacramento, California, 95817, United States|University of California San Diego, San Diego, California, 92037, United States|University of California San Francisco, San Francisco, California, 94143, United States|University of Colorado Anschutz Medical Campus, Aurora, Colorado, 80045, United States|Rush University Medical Center, Chicago, Illinois, 60612, United States|University of Chicago, Chicago, Illinois, 60637, United States|University of Iowa Health Care, Iowa City, Iowa, 52242, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States|NYU Langone Comprehensive Epilepsy Center, New York, New York, 10016, United States|SUNY Upstate Medical University, Syracuse, New York, 13210, United States|Duke University Hospital, Durham, North Carolina, 27710, United States|Oregon Health and Science University, Portland, Oregon, 97239, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, 19107, United States|UTHealth Houston, Houston, Texas, 77030, United States|University of Utah Health, Salt Lake City, Utah, 84108, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States"
NCT02696044,Treatment of Mitochondrial Dysfunction in Rett Syndrome With Triheptanoin,https://clinicaltrials.gov/study/NCT02696044,UNKNOWN,"The aim of this study is to evaluate the safety and tolerability of triheptanoin in participants with Rett syndrome using laboratory values, electrocardiogram, rate of adverse events (AE), and physical exam.This study also seeks to evaluate the efficacy of UX007 (triheptanoin) in improving overall seizure frequency and dystonia.",Rett Syndrome,DRUG: triheptanoin,"Change in Clinical Seizure Frequency, The number of observable seizures recorded via caregiver-reported diary between Visit 2 and Visit 7 of treatment., Visit 2, Visit 7 (Up to 4 months)|Change in Dystonia frequency, The frequency of dystonic posturing present in each limb recorded via caregiver-reported diary on each day of treatment between Visit 2 and Visit 7 of treatment., Visit 2, Visit 7 (Up to 4 months)","Center for Rare Neurological Diseases, Norcross, GA",Ultragenyx Pharmaceutical Inc|Rett Syndrome Research Trust,FEMALE,"CHILD, ADULT, OLDER_ADULT",PHASE2,12,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,6/1/2016,2021-02,"Center for Rare Neurological Diseases, Norcross, Georgia, 30093, United States"
NCT03961568,Cenobamate Open-Label Extension Study for YKP3089C025,https://clinicaltrials.gov/study/NCT03961568,ENROLLING_BY_INVITATION,52 Week Open-Label Safety Study of Cenobamate for Subjects who Complete YKP3089C025 (core study),Primary Generalized Tonic Clonic Seizures in the Setting of Idiopathic Generalized Epilepsy,DRUG: Cenobamate,"Incidence of Adverse Events and SAEs, Summary statistics for clinical laboratory test results and vital signs; and physical examination, neurologic examination and electrocardiogram (ECG) finding., 386 +/- 2 days","SK Life Science, Inc.",,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,145,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,8/13/2019,2025-05,"University of California, San Diego (UCSD), La Jolla, California, 92093, United States|The Neurology Research Group, LLC., Miami, Florida, 33176, United States|University of South Florida, Tampa, Florida, 33606, United States|Hawaii Pacific Neuroscience, Honolulu, Hawaii, 96814, United States|Consultants in Epilepsy and Neurology, PLLC, Boise, Idaho, 83702, United States|Maine Medical Center, Scarborough, Maine, 04074, United States|Mid-Atlantic Epilepsy and Sleep Center, Bethesda, Maryland, 20817, United States|Minneapolis Clinic of Neurology, Golden Valley, Minnesota, 55422, United States|Northeast Regional Epilepsy Group, Hackensack, New Jersey, 07601, United States|Five Towns Neuroscience Research, Woodmere, New York, 11598, United States|University of Pennsylvania, Philadelphia, Pennsylvania, 19140, United States|Valley Medical Center, Renton, Washington, 98057, United States|MultiCare Rockwood Neurology Center, Spokane, Washington, 99204, United States|Multiprofile Hospital for Active Treatment Puls AD, Blagoevgrad, 2700, Bulgaria|Acibadem City Clinic Multiprofile Hospital for Active Treatment Tokuda EAD, Sofia, 1407, Bulgaria|Diagnostic Consultative Center Neoclinic EAD, Sofia, 1408, Bulgaria|Diagnostic Consultative Center Equita EOOD, Varna, 9000, Bulgaria|Medical Center Medica Plus OOD, Veliko Tarnovo, 5000, Bulgaria|Multiprofile Hospital for Active Treatment Sv. Ivan Rilski Gorna Oryahovitsa EOOD, Veliko Tarnovo, 5100, Bulgaria|Cerebrovaskularni poradna, Ostrava-Poruba, 708 52, Czechia|Fakultni nemocnice v Motole, Praha 5, 150 06, Czechia|Forbeli s.r.o.-Neurologicka ambulance, Praha 6, 160 00, Czechia|Neurologicka ambulance, Zlín, 760 01, Czechia|Semmelweis Egyetem I. Sz. Gyermekgyogyaszati Klinika, Budapest, 1083, Hungary|Centrum Leczenia Padaczki i Migreny, Kraków, Malopolskie, 31-209, Poland|Centrum Medyczne Pratia Warszawa, Warszawa, Mazowieckie, 01-868, Poland|Górnoslaskie Centrum Medyczne im. prof. Leszka Gieca Slaskiego Uniwersytetu Medycznego w Katowicach, Katowice, Silesia, 40-635, Poland|Clinical Research Center Spólka z Ograniczona Odpowiedzialnoscia Medic-R sp. k., Poznań, Wielkopolskie, 60-848, Poland|MUDr. Beata Dupejova, neurologicka ambulancia, s.r.o., Banská Bystrica, 974 04, Slovakia|IN MEDIC s.r.o., Bardejov, 085 01, Slovakia|Konzilium, s.r.o., Dubnica Nad Váhom, 018 41, Slovakia|Municipal Institution ""Dnipropetrovsk City Clinical Hospital No16"" of Dnipropetrovsk Regional Council, Dnepropetrovsk, Dnipropetrovsk, 49027, Ukraine|Municipal Institution Odesa Regional Clinical Hospital, Department of Cerebro-Vascular Diseases, Odesa, Odessa, 65025, Ukraine|Regional Clinical Center of Neurosurgery and Neurology ""Uzhhorod National University"", Úzhgorod, Zakarpattia, 88018, Ukraine|Municipal Institution Zaporizhzhia Regional Clinical Hospital of Zaporizhzhia Regional Council, Zaporozhye, Zaporizhzhya, 69600, Ukraine|Communal Institution ""Dnipropetrovsk Regional Clinical Hospital n.a. I.I. Mechnikov"", Regional Center, Dnipropetrovs'k, 49005, Ukraine|Municipal Institution ""Dnipropetrovsk Regional Clinical Hospital named after I. I. Mechnikov"", Dnipropetrovs'k, 49005, Ukraine|Regional Psyconeurology Hospital #3, Ivano-Frankivs'k, 76011, Ukraine|Communal Non-Commercial Enterprise of Kharkiv Regional Council, Kharkiv, 61068, Ukraine|Municipal Institution of Lviv Regional Council, Lviv, 79010, Ukraine|Ternopil Regional Municipal Psychoneurological Hospital, Ternopil', 46020, Ukraine|Municipal Institution ""Vinnytsia Regional Psychoneurological Hospital named after Acad. O.I. Yushch, Vinnytsya, 21005, Ukraine"
NCT00064467,Lethargic Depression Study,https://clinicaltrials.gov/study/NCT00064467,COMPLETED,"This is a study of Major Depressive Disorder (MDD) in patients with decreased energy, pleasure and interests.",Epilepsy|Major Depressive Disorder (MDD),DRUG: Extended-release bupropion (HCl),"Change from randomization on the Inventory of Depressive Symptomatology, self report and clinician rated.",GlaxoSmithKline,,ALL,"ADULT, OLDER_ADULT",PHASE3,268,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,6/1/2003,2005-05,"GSK Investigational Site, Beverly Hills, California, 90210, United States|GSK Investigational Site, Sherman Oaks, California, 91403, United States|GSK Investigational Site, Temecula, California, 92591, United States|GSK Investigational Site, Denver, Colorado, 80212, United States|GSK Investigational Site, Cromwell, Connecticut, 06416, United States|GSK Investigational Site, Hamden, Connecticut, 06518, United States|GSK Investigational Site, Middletown, Connecticut, 06457, United States|GSK Investigational Site, Miami, Florida, 33156, United States|GSK Investigational Site, Marietta, Georgia, 30060, United States|GSK Investigational Site, Oak Brook, Illinois, 60523, United States|GSK Investigational Site, Cedar Rapids, Iowa, 52401, United States|GSK Investigational Site, Rockville, Maryland, 20852, United States|GSK Investigational Site, Farmington Hills, Michigan, 48336, United States|GSK Investigational Site, Ridgeland, Mississippi, 39157, United States|GSK Investigational Site, Moorestown, New Jersey, 08057, United States|GSK Investigational Site, Albuquerque, New Mexico, 87108, United States|GSK Investigational Site, Beachwood, Ohio, 44122, United States|GSK Investigational Site, Portland, Oregon, 97201, United States|GSK Investigational Site, Lincoln, Rhode Island, 02865-4208, United States|GSK Investigational Site, Austin, Texas, 78746, United States|GSK Investigational Site, Dallas, Texas, 75231, United States|GSK Investigational Site, Houston, Texas, 77004, United States|GSK Investigational Site, Lake Jackson, Texas, 77566, United States|GSK Investigational Site, San Antonio, Texas, 78229, United States"
